Master Index,before_after,date_diff,flight_length,label,label_grouped,rul_2d,rul_5d,rul_10d,split,number_flights_before
157,before,-2,4916.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
161,before,0,629.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
162,after,4,5442.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
167,after,5,531.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
168,before,-3,5611.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,0
169,before,-2,7608.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
171,after,1,5314.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
173,after,1,4106.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
175,before,-2,2844.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
178,before,0,7450.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
181,before,-1,4341.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,3
188,after,2,9436.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
189,after,1,3391.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
190,before,0,450.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
193,before,-2,5601.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,4
194,before,-3,6666.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,test,1
195,before,0,9668.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
197,after,1,6658.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
199,after,5,2171.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
202,before,-1,5736.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,2
203,before,-1,8557.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
204,before,0,138.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
205,before,-1,5054.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
207,before,-2,481.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
211,after,2,4683.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
213,before,-3,5259.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,4
214,before,-2,5975.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
217,after,2,9856.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
218,after,4,5772.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
219,after,1,6143.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
223,after,2,5849.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
224,after,1,169.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
226,after,2,5181.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
227,before,-1,4108.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
229,before,-3,5250.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,2
232,after,4,5310.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
233,after,2,5754.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
235,before,-2,4667.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
237,before,-1,4216.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,4
238,before,-2,4648.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
241,before,-3,4525.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
247,before,-1,3313.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
248,after,1,6346.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
250,before,-2,4926.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
251,after,1,4356.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
254,before,-1,5243.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
256,before,-1,4698.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
261,after,1,4621.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
263,before,-3,2628.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,val,0
265,before,-1,6254.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
267,after,1,9120.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
269,after,3,3532.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
273,before,0,574.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,0
274,after,1,4592.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
277,before,-1,4869.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,1
278,after,1,2752.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
281,after,2,5228.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
282,before,-1,3111.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,0
283,after,1,4385.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
284,before,-2,4651.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
285,before,-1,13073.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
286,before,-4,5765.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
287,after,1,5834.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
288,after,1,4728.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
291,after,3,5205.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
296,after,1,5196.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
297,after,1,5255.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
299,after,4,5019.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
302,after,1,5178.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
304,after,1,5130.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
314,after,2,1302.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
315,before,-3,3777.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,test,2
318,after,1,3548.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
325,after,2,1926.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
329,before,-11,5321.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,2
332,after,4,3167.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
333,after,1,2860.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
335,after,1,4944.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
337,after,3,4932.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
339,after,1,11144.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
340,before,-23,5571.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,4
342,before,-1,5306.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
344,before,-4,6341.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,4
345,after,1,237.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
347,after,1,4356.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
349,after,2,5578.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
350,before,0,447.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
351,after,1,5734.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
354,before,-5,4372.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,val,1
358,before,-4,3944.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,test,0
359,before,-5,4400.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,4
361,before,-7,1568.0,intake gasket leak/damage,intake gasket leak/damage,1,1,0,train,2
362,after,1,5382.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
364,after,1,5407.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
365,before,-3,3221.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,1
367,after,1,7531.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
368,after,5,7967.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
369,after,2,4830.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
371,before,-1,5674.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
372,after,1,6000.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
374,before,-2,10347.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
376,before,-2,683.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,4
377,before,-1,6059.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
379,after,1,4808.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
381,after,5,4847.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
382,before,-2,6924.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,3
383,before,-1,1538.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
384,after,1,6823.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
385,after,2,2659.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
387,before,-1,6457.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,3
388,after,1,3764.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
393,before,-1,3265.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
394,after,1,1443.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
396,before,-1,1597.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
397,before,-1,6411.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
402,after,1,5869.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
403,before,-6,5759.0,intake gasket leak/damage,intake gasket leak/damage,1,1,0,train,2
405,after,1,3964.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
407,before,-2,5987.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
408,after,1,9385.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
410,before,-1,7474.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
411,after,2,14765.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
413,before,-1,3407.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
416,before,-3,9904.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,4
421,after,6,6193.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
423,after,3,5760.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
426,after,1,4978.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
428,before,-4,3065.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,2
429,after,1,6051.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
430,before,-2,1975.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
431,before,-1,2003.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
432,after,2,5281.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
433,before,-1,6572.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
437,after,1,4894.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
441,after,2,6051.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
444,before,-3,123.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,2
445,after,1,6936.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
450,after,1,4337.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
452,before,0,2907.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
454,before,-1,1648.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,3
455,before,-4,3231.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
461,before,0,8701.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
462,after,1,3655.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
467,before,-1,4589.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
469,after,2,5398.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
474,after,33,325.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
476,before,-2,6501.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
477,after,1,5772.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
478,before,-2,4450.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
479,after,1,6796.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
482,before,-2,5185.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,4
485,before,-1,5415.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
486,before,0,896.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
487,after,1,3995.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
489,before,-1,4637.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
493,after,3,3081.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
494,before,-16,5056.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,3
496,before,-1,5477.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
499,before,-2,138.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
503,before,-1,4775.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
504,after,1,4007.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
506,before,0,9038.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,0
507,before,-1,6894.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
510,before,-5,5404.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,0
513,before,-2,5210.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
514,after,22,10021.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
515,before,-3,6264.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,test,1
522,before,-2,7198.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
524,after,2,5955.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
528,after,1,6161.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
530,after,1,6643.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
533,before,-1,4185.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,4
536,before,-3,5135.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,1
538,after,2,1539.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
539,after,1,3964.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
541,after,1,5539.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
542,after,5,4310.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,test,-1
544,before,-3,5547.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,3
548,before,-1,7702.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,0
549,before,-1,5783.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,2
550,after,3,9911.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
553,before,0,4306.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
554,after,5,4746.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
555,after,5,9322.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
556,before,0,180.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
557,before,-2,4356.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,3
558,before,-1,1213.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
559,before,-3,8453.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,2
560,before,-1,4169.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
561,after,5,4993.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
562,after,1,6143.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
564,after,1,6996.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
565,before,0,372.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
566,before,0,123.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
567,before,-1,5473.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
570,after,1,5041.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
572,before,-1,6713.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
574,after,1,2687.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
575,before,-1,4807.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,2
576,after,1,9736.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
578,after,2,4382.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
579,before,-1,1679.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
580,before,0,5660.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
581,after,5,5942.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
582,before,-1,6239.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,4
585,after,1,6545.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
586,before,-1,152.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
589,after,2,4667.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
591,before,-4,1665.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,2
592,before,-1,154.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
593,before,-1,5166.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
598,after,1,124.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,val,-1
599,after,5,3811.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
602,before,0,124.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
604,after,2,3775.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
605,before,-1,2272.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
607,after,5,2472.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
610,after,2,7741.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
614,before,-1,5725.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,3
615,after,1,5129.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
617,before,-2,5136.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,1
622,before,-2,3298.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,2
623,after,1,6705.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
630,before,-2,7479.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,test,3
631,after,1,5663.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
632,before,-3,5445.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,val,1
634,after,2,4933.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
636,before,-3,8725.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,4
640,before,-1,7157.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,3
641,before,-4,3749.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,train,4
642,before,-3,7875.0,intake gasket leak/damage,intake gasket leak/damage,1,0,0,val,4
644,after,1,5632.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
645,before,0,621.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,val,0
647,after,2,5368.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
648,before,-1,5717.0,intake gasket leak/damage,intake gasket leak/damage,0,0,0,train,0
649,after,2,4305.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
650,after,3,7533.0,intake gasket leak/damage,intake gasket leak/damage,1,1,1,train,-1
